h 	 hh 	 p 	 snp 	 ar 	 war 	 sigma 	 bf 	 like 	 
0.844	0.002	-1.543	1	0.247	0.137	3.363	12.333	-3.658	
0.802	0.003	-1.538	1	0.247	0.136	2.912	12.477	-3.706	
0.836	0.004	-1.600	1	0.246	0.136	3.262	12.789	-3.207	
0.924	0.002	-1.686	1	0.246	0.136	5.032	10.615	-2.623	
0.727	0.002	-1.616	1	0.246	0.136	2.354	11.384	-3.089	
0.805	0.002	-1.640	2	0.246	0.136	2.073	10.533	-6.673	
0.814	0.001	-1.683	1	0.246	0.136	3.010	10.767	-2.644	
0.745	0.003	-1.675	1	0.246	0.136	2.469	11.115	-2.693	
0.899	0.003	-1.723	1	0.246	0.136	4.314	11.115	-2.406	
0.664	0.003	-1.797	1	0.245	0.136	2.033	13.164	-2.028	
0.786	0.003	-1.858	1	0.245	0.136	2.765	11.478	-1.758	
0.906	0.002	-1.841	1	0.245	0.136	4.483	11.028	-1.830	
0.922	0.002	-1.803	1	0.245	0.136	4.961	10.639	-1.998	
0.655	0.004	-1.795	1	0.245	0.136	1.990	11.523	-2.035	
0.422	0.003	-1.829	1	0.245	0.136	1.233	11.996	-1.880	
0.432	0.002	-1.916	1	0.245	0.135	1.261	13.641	-1.538	
0.542	0.003	-1.847	1	0.245	0.135	1.569	11.789	-1.807	
0.305	0.003	-1.965	1	0.245	0.135	0.956	12.623	-1.374	
0.342	0.003	-2.050	1	0.244	0.135	1.043	13.927	-1.129	
0.260	0.003	-2.041	2	0.244	0.135	0.604	12.569	-5.842	
0.515	0.003	-2.056	1	0.244	0.135	1.488	11.803	-1.113	
0.430	0.003	-1.983	1	0.244	0.135	1.255	13.742	-1.318	
0.200	0.002	-1.952	1	0.244	0.135	0.721	12.742	-1.414	
0.105	0.003	-1.944	2	0.244	0.135	0.350	13.795	-5.906	
0.093	0.002	-2.038	1	0.244	0.135	0.463	13.333	-1.161	
0.206	0.003	-2.083	1	0.244	0.135	0.734	12.506	-1.046	
0.020	0.004	-2.075	1	0.244	0.135	0.208	15.470	-1.065	
0.009	0.003	-1.844	3	0.244	0.135	0.080	14.286	-10.281	
0.045	0.002	-1.770	1	0.244	0.135	0.313	13.256	-2.157	
0.005	0.002	-1.759	1	0.244	0.135	0.097	14.122	-2.212	
0.307	0.002	-1.774	1	0.244	0.135	0.960	12.173	-2.137	
0.140	0.002	-1.753	2	0.244	0.135	0.412	12.736	-6.264	
0.021	0.004	-1.788	1	0.244	0.135	0.210	13.872	-2.072	
0.182	0.002	-1.784	1	0.244	0.135	0.682	12.954	-2.088	
0.015	0.002	-1.660	1	0.244	0.135	0.177	15.185	-2.787	
0.009	0.003	-1.376	2	0.245	0.135	0.099	13.898	-8.544	
0.007	0.001	-1.351	1	0.245	0.135	0.125	14.085	-5.747	
0.083	0.002	-1.427	2	0.245	0.136	0.365	10.752	-8.050	
0.184	0.003	-1.512	1	0.245	0.135	0.686	14.342	-3.938	
0.003	0.002	-1.660	1	0.245	0.136	0.074	14.261	-2.787	
0.286	0.004	-1.530	1	0.245	0.136	0.913	12.509	-3.776	
0.145	0.003	-1.579	4	0.245	0.136	0.351	9.442	-14.193	
0.077	0.003	-1.389	4	0.246	0.136	0.248	11.240	-14.725	
0.233	0.003	-1.460	1	0.246	0.136	0.796	13.769	-4.451	
0.046	0.002	-1.429	2	0.246	0.136	0.224	13.270	-8.037	
0.003	0.002	-1.628	1	0.246	0.136	0.083	16.027	-3.005	
0.094	0.004	-1.672	2	0.246	0.136	0.399	11.210	-6.540	
0.009	0.003	-1.495	3	0.246	0.136	0.099	13.855	-10.916	
0.076	0.003	-1.537	2	0.246	0.136	0.294	14.192	-7.222	
0.013	0.003	-1.746	4	0.246	0.136	0.098	14.173	-14.288	
0.139	0.002	-1.648	4	0.247	0.136	0.316	10.460	-14.182	
0.006	0.002	-1.829	1	0.247	0.136	0.110	14.557	-1.884	
0.007	0.001	-1.944	2	0.247	0.136	0.092	11.272	-5.906	
0.006	0.003	-2.006	1	0.247	0.136	0.114	14.102	-1.249	
0.004	0.002	-1.816	1	0.247	0.136	0.093	14.225	-1.939	
0.089	0.006	-1.693	2	0.247	0.137	0.397	10.629	-6.460	
0.444	0.001	-1.794	2	0.247	0.137	0.912	11.591	-6.157	
0.483	0.003	-1.884	2	0.247	0.137	0.987	11.747	-5.982	
0.089	0.003	-2.020	1	0.247	0.137	0.449	12.567	-1.210	
0.116	0.001	-2.070	1	0.247	0.137	0.523	13.059	-1.076	
0.080	0.003	-2.030	1	0.247	0.137	0.426	13.367	-1.181	
0.011	0.003	-1.968	1	0.247	0.137	0.151	14.154	-1.363	
0.169	0.002	-2.099	1	0.247	0.137	0.650	12.545	-1.007	
0.386	0.004	-1.929	1	0.247	0.137	1.143	12.081	-1.492	
0.562	0.003	-1.879	2	0.247	0.137	1.202	7.906	-5.990	
0.314	0.002	-1.788	1	0.247	0.137	0.975	12.942	-2.072	
0.316	0.003	-1.812	1	0.247	0.137	0.983	13.888	-1.958	
0.223	0.003	-1.639	3	0.247	0.137	0.446	11.856	-10.429	
0.070	0.003	-1.643	1	0.247	0.137	0.397	13.028	-2.901	
0.007	0.001	-1.709	3	0.247	0.137	0.068	14.539	-10.317	
0.047	0.002	-1.753	2	0.247	0.137	0.235	11.006	-6.262	
0.313	0.002	-1.611	1	0.248	0.136	0.975	12.263	-3.122	
0.004	0.002	-1.749	2	0.248	0.137	0.076	12.947	-6.276	
0.025	0.003	-1.704	2	0.248	0.137	0.171	11.635	-6.418	
0.089	0.003	-1.932	1	0.248	0.137	0.451	13.163	-1.481	
0.028	0.003	-1.821	1	0.248	0.137	0.245	13.737	-1.916	
0.059	0.002	-1.896	3	0.248	0.137	0.235	11.338	-10.317	
0.004	0.002	-1.857	2	0.248	0.137	0.070	16.044	-6.026	
0.069	0.003	-1.653	2	0.248	0.137	0.330	10.793	-6.619	
0.005	0.003	-1.620	3	0.248	0.137	0.070	11.813	-10.470	
0.101	0.001	-1.676	2	0.249	0.137	0.407	10.187	-6.523	
0.004	0.001	-1.634	4	0.249	0.137	0.052	16.694	-14.178	
0.251	0.002	-1.762	1	0.249	0.137	0.837	12.685	-2.198	
0.030	0.002	-1.646	2	0.249	0.138	0.179	13.499	-6.648	
0.002	0.002	-1.676	3	0.249	0.138	0.043	14.706	-10.361	
0.009	0.002	-1.649	2	0.249	0.138	0.100	14.938	-6.634	
0.040	0.004	-1.872	1	0.249	0.138	0.296	14.728	-1.705	
0.075	0.002	-1.912	2	0.249	0.138	0.291	14.085	-5.943	
0.113	0.002	-1.933	3	0.249	0.138	0.298	13.262	-10.357	
0.003	0.002	-1.813	2	0.249	0.138	0.063	13.564	-6.112	
0.044	0.003	-1.779	3	0.249	0.138	0.223	11.640	-10.273	
0.058	0.003	-1.618	2	0.249	0.138	0.293	12.630	-6.773	
0.187	0.002	-1.703	2	0.249	0.138	0.490	13.465	-6.424	
0.013	0.005	-1.635	1	0.249	0.138	0.169	14.258	-2.953	
0.142	0.003	-1.568	1	0.249	0.138	0.588	12.735	-3.457	
0.003	0.003	-1.660	1	0.250	0.138	0.078	15.020	-2.786	
0.037	0.005	-1.773	2	0.250	0.138	0.200	14.411	-6.208	
0.099	0.004	-1.913	1	0.250	0.138	0.479	14.694	-1.550	
0.014	0.002	-1.799	2	0.250	0.138	0.158	12.134	-6.143	
