h 	 hh 	 p 	 snp 	 ar 	 war 	 sigma 	 bf 	 like 	 
0.135	0.002	-1.744	1	0.259	0.074	0.970	5.166	-2.511	
0.074	0.002	-1.619	2	0.259	0.074	0.355	11.759	-7.063	
0.018	0.002	-1.635	2	0.258	0.074	0.169	14.160	-6.976	
0.010	0.002	-1.613	3	0.258	0.074	0.110	13.335	-10.786	
0.006	0.003	-1.602	2	0.258	0.074	0.097	15.016	-7.156	
0.002	0.002	-1.605	3	0.258	0.074	0.051	15.107	-10.811	
0.018	0.003	-1.590	4	0.257	0.073	0.119	11.688	-14.499	
0.008	0.003	-1.590	3	0.257	0.073	0.087	13.689	-10.865	
0.009	0.002	-1.636	2	0.257	0.073	0.117	15.048	-6.971	
0.011	0.003	-1.699	4	0.257	0.073	0.095	11.862	-14.463	
0.026	0.003	-1.795	2	0.257	0.073	0.206	13.939	-6.348	
0.002	0.001	-1.753	4	0.256	0.073	0.044	10.165	-14.515	
0.038	0.003	-1.868	2	0.256	0.073	0.250	12.599	-6.170	
0.189	0.005	-1.893	2	0.256	0.073	0.607	11.970	-6.123	
0.263	0.002	-1.905	2	0.256	0.073	0.750	10.786	-6.103	
0.232	0.002	-1.925	2	0.255	0.073	0.690	12.124	-6.070	
0.273	0.003	-1.897	3	0.255	0.072	0.655	8.367	-10.471	
0.366	0.003	-1.889	2	0.255	0.072	0.954	10.150	-6.130	
0.010	0.001	-1.923	1	0.255	0.072	0.252	8.529	-1.658	
0.019	0.002	-1.906	3	0.255	0.072	0.129	10.350	-10.477	
0.064	0.003	-1.805	2	0.254	0.072	0.332	13.360	-6.318	
0.032	0.002	-1.765	4	0.254	0.072	0.181	11.440	-14.532	
0.033	0.003	-1.749	4	0.254	0.072	0.165	11.609	-14.509	
0.074	0.004	-1.737	3	0.254	0.072	0.269	12.906	-10.514	
0.112	0.004	-1.745	2	0.253	0.072	0.450	13.558	-6.506	
0.006	0.004	-1.725	2	0.253	0.072	0.097	15.455	-6.578	
0.020	0.002	-1.766	2	0.253	0.072	0.182	14.393	-6.436	
0.042	0.003	-1.780	3	0.253	0.072	0.256	12.494	-10.473	
0.007	0.002	-1.775	1	0.253	0.072	0.121	10.422	-2.339	
0.017	0.002	-1.852	2	0.253	0.072	0.168	8.699	-6.205	
0.008	0.005	-1.933	2	0.253	0.072	0.115	14.026	-6.059	
0.029	0.002	-1.968	4	0.252	0.072	0.157	11.598	-15.056	
0.005	0.002	-1.957	2	0.252	0.072	0.088	15.792	-6.027	
0.023	0.004	-2.044	4	0.252	0.072	0.124	14.042	-15.346	
0.021	0.003	-1.920	3	0.252	0.072	0.167	12.823	-10.487	
0.015	0.004	-1.908	3	0.252	0.072	0.137	15.146	-10.478	
0.025	0.003	-1.893	2	0.252	0.071	0.200	16.244	-6.123	
0.036	0.003	-1.928	4	0.251	0.071	0.173	13.273	-14.922	
0.026	0.004	-1.886	2	0.251	0.071	0.205	17.062	-6.135	
0.049	0.002	-1.955	1	0.251	0.071	0.331	11.588	-1.538	
0.024	0.003	-1.991	2	0.251	0.071	0.195	16.847	-5.991	
0.023	0.004	-1.990	2	0.251	0.071	0.205	14.969	-5.992	
0.031	0.004	-1.931	2	0.251	0.071	0.225	15.060	-6.062	
0.189	0.005	-1.891	2	0.250	0.071	0.612	14.091	-6.127	
0.195	0.003	-1.910	2	0.250	0.071	0.617	13.180	-6.094	
0.314	0.003	-1.935	2	0.250	0.071	0.860	13.421	-6.056	
0.305	0.001	-1.915	1	0.250	0.071	0.970	10.283	-1.689	
0.084	0.003	-2.134	1	0.250	0.071	0.444	11.424	-1.017	
0.142	0.002	-2.110	2	0.250	0.071	0.517	14.298	-5.926	
0.207	0.004	-2.119	1	0.249	0.071	0.747	10.838	-1.052	
0.155	0.002	-2.050	1	0.249	0.071	0.627	11.406	-1.236	
0.388	0.002	-1.993	1	0.250	0.071	1.164	11.266	-1.408	
0.326	0.003	-1.993	1	0.250	0.071	1.018	12.497	-1.408	
0.366	0.004	-2.048	2	0.250	0.071	0.965	14.081	-5.948	
0.359	0.002	-2.094	1	0.249	0.071	1.094	12.534	-1.116	
0.272	0.003	-2.087	2	0.249	0.071	0.767	15.464	-5.931	
0.310	0.004	-2.042	2	0.249	0.071	0.852	14.321	-5.951	
0.217	0.004	-2.068	2	0.249	0.071	0.662	15.023	-5.938	
0.006	0.003	-2.137	3	0.249	0.071	0.084	16.387	-10.837	
0.304	0.004	-2.065	2	0.249	0.071	0.839	13.690	-5.940	
0.222	0.002	-2.004	1	0.249	0.071	0.782	11.930	-1.374	
0.289	0.003	-2.122	1	0.249	0.071	0.933	11.662	-1.046	
0.373	0.004	-2.077	2	0.249	0.071	0.980	12.904	-5.935	
0.078	0.005	-2.116	2	0.249	0.071	0.370	14.659	-5.925	
0.099	0.002	-2.138	2	0.249	0.071	0.417	14.309	-5.924	
0.120	0.001	-2.073	1	0.249	0.070	0.541	11.798	-1.170	
0.003	0.002	-2.141	1	0.249	0.070	0.085	12.870	-1.001	
0.038	0.001	-1.996	1	0.249	0.071	0.291	11.478	-1.398	
0.011	0.002	-2.058	2	0.249	0.071	0.109	10.055	-5.943	
0.115	0.002	-2.059	2	0.249	0.071	0.453	12.823	-5.942	
0.182	0.002	-1.942	1	0.249	0.071	0.690	10.606	-1.585	
0.118	0.002	-1.949	1	0.249	0.071	0.536	11.265	-1.561	
0.041	0.002	-1.818	2	0.249	0.070	0.254	10.943	-6.285	
0.056	0.002	-1.761	1	0.249	0.070	0.356	11.365	-2.416	
0.218	0.002	-1.740	2	0.249	0.070	0.540	7.563	-6.523	
0.471	0.003	-1.799	1	0.249	0.070	1.380	9.316	-2.211	
0.658	0.002	-1.808	1	0.249	0.071	2.032	9.207	-2.167	
0.643	0.003	-1.763	1	0.249	0.070	1.962	9.119	-2.404	
0.566	0.003	-1.626	1	0.249	0.070	1.672	9.248	-3.304	
0.422	0.002	-1.582	1	0.249	0.070	1.251	9.286	-3.658	
0.101	0.004	-1.558	4	0.249	0.070	0.271	9.111	-14.551	
0.043	0.001	-1.612	1	0.249	0.070	0.309	10.039	-3.410	
0.003	0.002	-1.632	2	0.249	0.070	0.053	9.711	-6.992	
0.007	0.002	-1.618	4	0.249	0.070	0.073	11.372	-14.470	
0.052	0.002	-1.727	1	0.249	0.070	0.343	10.411	-2.611	
0.012	0.003	-1.637	4	0.249	0.070	0.098	11.867	-14.458	
0.017	0.003	-1.638	2	0.249	0.070	0.163	13.587	-6.959	
0.065	0.004	-1.551	2	0.249	0.070	0.336	10.854	-7.480	
0.224	0.001	-1.584	1	0.249	0.070	0.786	9.082	-3.647	
0.007	0.002	-1.730	3	0.249	0.070	0.071	7.730	-10.523	
0.012	0.002	-1.662	2	0.249	0.070	0.141	7.045	-6.843	
0.027	0.002	-1.661	3	0.249	0.070	0.161	4.464	-10.651	
0.159	0.002	-1.610	1	0.249	0.070	0.626	2.773	-3.433	
0.015	0.002	-1.707	1	0.249	0.070	0.183	10.152	-2.736	
0.005	0.001	-1.695	2	0.249	0.070	0.081	3.411	-6.695	
0.278	0.001	-1.712	1	0.249	0.070	0.908	8.552	-2.707	
0.108	0.002	-1.861	1	0.249	0.070	0.510	9.614	-1.912	
0.245	0.002	-1.828	1	0.249	0.070	0.833	8.708	-2.065	
0.292	0.003	-1.770	1	0.250	0.070	0.939	8.854	-2.364	
0.317	0.002	-1.681	2	0.250	0.070	0.703	5.359	-6.757	
0.433	0.002	-1.592	2	0.250	0.070	0.913	4.401	-7.218	
0.628	0.002	-1.558	1	0.250	0.070	1.900	8.164	-3.875	
0.615	0.003	-1.692	1	0.250	0.070	1.849	8.518	-2.835	
0.406	0.001	-1.713	1	0.250	0.070	1.210	8.331	-2.699	
0.298	0.002	-1.746	1	0.250	0.070	0.954	9.008	-2.499	
0.456	0.002	-2.002	1	0.250	0.070	1.341	8.189	-1.380	
0.757	0.002	-1.992	1	0.250	0.070	2.579	7.647	-1.412	
0.862	0.001	-2.011	1	0.250	0.070	3.654	7.212	-1.352	
0.888	0.002	-2.042	1	0.250	0.070	4.120	6.833	-1.259	
0.571	0.004	-1.936	1	0.250	0.070	1.689	8.501	-1.609	
0.654	0.002	-1.830	1	0.251	0.070	2.013	9.521	-2.058	
0.728	0.004	-1.819	1	0.251	0.070	2.394	9.534	-2.110	
0.700	0.002	-1.886	1	0.250	0.070	2.236	10.055	-1.807	
0.519	0.002	-1.778	1	0.251	0.070	1.519	10.745	-2.322	
0.519	0.001	-1.806	1	0.251	0.070	1.520	10.607	-2.176	
0.679	0.002	-1.809	1	0.251	0.070	2.126	10.776	-2.157	
0.969	0.002	-1.833	1	0.251	0.070	8.205	9.453	-2.044	
0.608	0.002	-1.983	1	0.251	0.070	1.823	10.628	-1.441	
0.606	0.004	-2.052	1	0.251	0.070	1.814	10.633	-1.229	
0.817	0.000	-2.010	1	0.251	0.070	2.990	3.831	-1.356	
0.776	0.002	-1.977	1	0.251	0.070	2.721	8.919	-1.461	
0.810	0.002	-1.995	1	0.251	0.070	3.024	8.254	-1.403	
0.572	0.001	-1.939	1	0.251	0.070	1.693	9.349	-1.598	
0.463	0.002	-1.959	1	0.251	0.070	1.360	9.448	-1.524	
0.362	0.001	-1.903	1	0.251	0.070	1.103	10.362	-1.736	
0.480	0.002	-1.912	1	0.251	0.070	1.405	10.410	-1.700	
0.561	0.003	-1.990	1	0.251	0.070	1.654	9.989	-1.420	
0.626	0.002	-2.011	1	0.252	0.070	1.893	9.953	-1.353	
0.742	0.003	-2.074	1	0.252	0.070	2.478	9.938	-1.170	
0.398	0.003	-2.107	1	0.252	0.070	1.189	10.819	-1.083	
0.253	0.002	-2.096	1	0.252	0.070	0.852	10.779	-1.110	
0.266	0.002	-2.032	2	0.252	0.070	0.675	8.823	-5.957	
0.326	0.003	-2.064	1	0.252	0.070	1.018	10.025	-1.195	
0.413	0.003	-1.996	2	0.252	0.070	1.028	7.339	-5.986	
0.647	0.003	-1.948	1	0.252	0.070	1.982	9.975	-1.564	
0.633	0.003	-1.922	1	0.252	0.070	1.922	9.672	-1.663	
0.282	0.002	-1.958	1	0.252	0.070	0.917	10.836	-1.530	
0.190	0.002	-1.968	1	0.252	0.070	0.710	11.249	-1.493	
0.438	0.002	-2.064	1	0.252	0.070	1.291	10.966	-1.196	
0.386	0.003	-2.080	1	0.252	0.070	1.160	10.887	-1.153	
0.198	0.002	-2.123	1	0.252	0.070	0.727	11.208	-1.044	
0.194	0.003	-2.067	1	0.252	0.070	0.717	11.757	-1.187	
0.239	0.003	-2.094	1	0.252	0.070	0.819	11.217	-1.115	
0.007	0.001	-2.135	1	0.252	0.070	0.122	13.050	-1.014	
0.025	0.002	-2.127	1	0.252	0.070	0.233	12.695	-1.033	
0.032	0.003	-2.086	1	0.252	0.069	0.267	11.820	-1.137	
0.296	0.002	-2.114	1	0.252	0.069	0.948	10.612	-1.066	
0.458	0.002	-2.140	1	0.252	0.069	1.345	10.038	-1.003	
0.411	0.002	-2.036	1	0.252	0.069	1.221	10.296	-1.277	
0.522	0.002	-1.996	1	0.252	0.069	1.528	10.223	-1.401	
0.468	0.002	-2.010	1	0.252	0.069	1.371	11.288	-1.356	
0.495	0.002	-2.062	1	0.252	0.069	1.447	11.896	-1.201	
0.103	0.002	-2.033	1	0.252	0.069	0.496	12.760	-1.286	
0.092	0.001	-1.939	1	0.252	0.069	0.465	13.069	-1.599	
0.087	0.003	-1.960	1	0.252	0.069	0.452	12.364	-1.522	
0.361	0.002	-2.025	1	0.252	0.069	1.101	11.810	-1.308	
0.493	0.001	-2.031	1	0.252	0.069	1.442	12.891	-1.292	
0.425	0.004	-1.859	1	0.252	0.069	1.259	13.492	-1.921	
0.233	0.001	-1.733	1	0.252	0.069	0.806	14.271	-2.574	
0.010	0.003	-1.759	3	0.252	0.069	0.086	13.743	-10.491	
0.085	0.003	-1.763	1	0.252	0.069	0.447	14.943	-2.401	
0.052	0.002	-1.860	2	0.252	0.069	0.263	14.627	-6.187	
0.003	0.003	-1.812	1	0.252	0.069	0.086	17.326	-2.143	
0.016	0.003	-2.011	1	0.252	0.069	0.189	16.848	-1.352	
0.008	0.002	-2.048	1	0.252	0.069	0.133	17.189	-1.241	
0.240	0.003	-2.111	1	0.252	0.069	0.823	15.664	-1.073	
0.318	0.003	-2.106	1	0.252	0.069	0.999	15.795	-1.086	
0.376	0.003	-2.122	1	0.252	0.069	1.137	15.912	-1.047	
0.561	0.002	-2.066	1	0.252	0.069	1.655	15.222	-1.192	
0.485	0.003	-2.019	1	0.252	0.069	1.420	15.078	-1.329	
0.279	0.005	-1.957	1	0.252	0.069	0.911	15.225	-1.531	
0.188	0.003	-2.073	1	0.252	0.069	0.703	16.205	-1.172	
0.154	0.003	-1.928	1	0.252	0.069	0.624	16.417	-1.637	
0.073	0.003	-1.964	1	0.252	0.069	0.410	17.297	-1.509	
0.008	0.004	-1.932	2	0.252	0.069	0.093	16.028	-6.060	
0.006	0.002	-1.923	1	0.252	0.069	0.109	17.997	-1.658	
0.208	0.004	-1.964	1	0.252	0.069	0.749	16.080	-1.506	
0.215	0.003	-1.889	1	0.252	0.069	0.766	15.393	-1.793	
0.119	0.003	-1.926	1	0.252	0.069	0.538	15.604	-1.645	
