h 	 hh 	 p 	 snp 	 ar 	 war 	 sigma 	 bf 	 like 	 
0.146	0.000	-0.527	2	0.431	0.270	0.733	-2.159	-2.624	
0.316	0.000	-0.591	1	0.431	0.270	1.712	-4.344	-1.481	
0.022	0.000	-0.723	1	0.431	0.270	0.377	-2.799	-1.048	
0.058	0.000	-0.658	2	0.431	0.271	0.439	-3.619	-2.508	
0.187	0.000	-0.734	3	0.430	0.270	0.692	-2.529	-3.991	
0.044	0.000	-0.657	3	0.430	0.270	0.309	-1.947	-3.772	
0.030	0.000	-0.654	3	0.431	0.271	0.252	-1.193	-3.765	
0.207	0.000	-0.444	2	0.431	0.272	0.909	-3.511	-2.805	
0.063	0.000	-0.592	2	0.431	0.271	0.459	-0.924	-2.545	
0.021	0.000	-0.693	1	0.431	0.271	0.365	-2.793	-1.134	
0.252	0.000	-0.745	2	0.430	0.271	1.027	-2.288	-2.509	
0.126	0.000	-0.564	1	0.431	0.272	0.950	-3.745	-1.596	
0.437	0.000	-0.361	2	0.431	0.272	1.554	-3.707	-3.121	
0.409	0.001	-0.558	2	0.431	0.272	1.466	-3.743	-2.580	
0.726	0.000	-0.434	2	0.431	0.272	2.873	-4.934	-2.835	
0.509	0.000	-0.682	1	0.431	0.273	2.555	-4.606	-1.165	
0.168	0.001	-0.625	2	0.431	0.273	0.799	-4.124	-2.522	
0.027	0.000	-0.673	2	0.430	0.272	0.293	-1.272	-2.504	
0.005	0.000	-0.701	1	0.430	0.272	0.177	-1.942	-1.109	
0.189	0.000	-0.698	1	0.430	0.272	1.211	-3.977	-1.118	
0.004	0.000	-0.756	2	0.430	0.272	0.108	-1.858	-2.512	
0.462	0.000	-0.769	1	0.430	0.271	1.439	-4.597	-0.932	
0.176	0.000	-0.475	3	0.430	0.272	0.668	-4.392	-3.411	
0.073	0.000	-0.767	1	0.431	0.272	0.702	-3.306	-0.937	
0.158	0.000	-0.656	1	0.431	0.272	1.086	-3.565	-1.246	
0.010	0.000	-0.519	3	0.431	0.272	0.120	-3.360	-3.472	
0.264	0.000	-0.671	1	0.431	0.272	1.503	-4.020	-1.199	
0.060	0.000	-0.654	2	0.432	0.272	0.447	-3.553	-2.509	
0.418	0.000	-0.675	1	0.432	0.273	2.122	-4.481	-1.186	
0.148	0.000	-0.507	1	0.433	0.273	1.043	-3.824	-1.866	
0.009	0.000	-0.586	3	0.433	0.273	0.136	-2.179	-3.599	
0.425	0.000	-0.533	1	0.434	0.273	1.336	-4.473	-1.734	
0.581	0.000	-0.638	1	0.434	0.273	2.968	-4.892	-1.308	
0.124	0.000	-0.458	1	0.435	0.273	0.944	-3.759	-2.139	
0.002	0.001	-0.414	2	0.435	0.274	0.069	-1.504	-2.899	
0.024	0.000	-0.655	1	0.435	0.274	0.245	-2.842	-1.251	
0.153	0.000	-0.724	3	0.435	0.274	0.613	-3.802	-3.961	
0.213	0.000	-0.480	4	0.435	0.274	0.651	-4.207	-4.122	
0.266	0.000	-0.520	1	0.436	0.274	0.935	-4.199	-1.799	
0.210	0.000	-0.453	1	0.435	0.274	1.294	-3.964	-2.175	
0.030	0.000	-0.617	1	0.436	0.274	0.435	-2.646	-1.383	
0.176	0.000	-0.758	2	0.436	0.274	0.819	-3.139	-2.513	
0.033	0.001	-0.487	1	0.436	0.274	0.456	-2.615	-1.973	
0.305	0.000	-0.669	2	0.436	0.274	1.170	-3.518	-2.505	
0.590	0.000	-0.746	1	0.436	0.274	1.862	-4.886	-0.990	
0.393	0.000	-0.362	3	0.437	0.275	1.162	-3.932	-3.377	
0.025	0.000	-0.419	3	0.437	0.275	0.232	-1.728	-3.369	
0.004	0.000	-0.461	1	0.437	0.275	0.154	-1.947	-2.124	
