snp	 s0	s1	s2	s3	
4	39	73	134	167	
4	35	73	134	167	
4	28	78	132	165	
4	62	73	132	166	
4	62	78	141	167	
4	62	78	141	167	
4	62	73	141	167	
4	62	73	133	167	
4	62	73	138	167	
4	60	73	138	167	
4	60	73	138	167	
4	60	73	122	167	
4	60	73	122	167	
4	60	73	122	167	
4	60	73	122	167	
4	60	73	122	167	
4	60	73	122	167	
4	60	73	122	167	
4	60	73	122	167	
4	60	73	122	167	
4	60	73	122	167	
4	60	73	122	167	
4	60	73	122	167	
4	60	73	122	167	
4	60	73	130	167	
4	60	73	135	167	
4	60	73	135	162	
4	60	73	135	166	
4	60	73	130	148	
4	62	73	122	150	
4	62	73	122	167	
4	62	73	122	167	
4	62	73	131	167	
4	62	73	130	167	
4	62	73	130	167	
4	62	73	131	167	
4	62	73	131	167	
4	62	73	133	167	
