snp	 s0	s1	s2	s3	
4	12	73	112	167	
4	12	73	122	167	
4	20	73	122	167	
4	19	73	134	167	
4	19	78	133	167	
4	23	78	133	167	
4	20	78	134	167	
4	20	78	138	167	
4	19	78	132	167	
4	19	78	132	167	
4	31	73	126	167	
4	31	78	138	167	
4	31	78	138	167	
4	23	73	134	167	
4	25	73	130	167	
4	19	78	130	167	
4	20	73	130	167	
4	23	73	133	167	
4	17	73	135	167	
4	23	73	131	167	
4	17	73	131	167	
4	17	78	135	167	
4	21	78	135	167	
4	33	73	135	167	
4	25	73	135	167	
4	25	73	135	167	
4	26	73	141	167	
4	23	73	141	167	
4	23	73	141	167	
4	12	73	141	167	
4	7	73	141	167	
4	0	73	135	167	
4	0	78	130	167	
4	19	78	130	167	
4	19	73	130	167	
4	31	73	138	167	
4	25	73	130	167	
4	40	73	130	167	
4	40	73	138	167	
4	40	73	138	167	
4	30	73	138	167	
4	20	78	138	167	
4	35	78	138	167	
4	35	78	138	167	
4	35	78	138	167	
4	26	78	138	167	
4	12	78	128	167	
4	12	78	128	167	
4	17	78	126	167	
4	17	78	132	167	
4	23	78	131	167	
4	30	78	132	167	
4	19	78	138	167	
4	31	78	141	167	
4	16	78	141	167	
4	23	78	141	167	
4	33	78	141	167	
4	40	78	135	167	
4	31	78	135	167	
4	31	78	138	167	
4	24	78	132	167	
4	21	78	134	167	
4	20	78	135	167	
4	18	78	135	167	
4	20	78	131	167	
4	20	73	131	167	
4	20	73	130	167	
4	16	73	130	167	
4	25	73	135	167	
4	30	73	134	167	
4	40	73	135	167	
4	40	73	135	167	
4	28	78	138	167	
4	16	78	138	167	
4	24	73	138	167	
4	35	73	138	167	
4	37	73	141	167	
4	31	78	132	167	
4	31	78	132	167	
4	31	78	132	167	
4	24	78	141	167	
4	24	78	138	167	
4	28	73	135	167	
4	28	73	141	167	
4	35	73	141	167	
4	39	73	141	167	
4	37	73	138	167	
4	33	73	138	167	
4	33	78	138	167	
4	33	78	138	167	
4	40	78	141	167	
4	40	78	141	167	
4	33	78	132	167	
4	28	73	122	167	
4	17	73	122	167	
4	17	73	134	167	
4	17	73	138	167	
4	12	73	130	167	
4	12	73	138	167	
4	7	73	138	167	
4	17	78	138	167	
4	18	78	138	167	
4	39	78	134	167	
4	36	78	130	167	
4	37	78	133	167	
4	37	78	133	167	
4	26	78	130	167	
4	31	78	135	167	
4	39	78	135	167	
4	39	73	135	167	
4	33	73	132	167	
4	16	73	141	167	
4	20	73	141	167	
4	19	73	141	167	
4	19	73	141	167	
4	21	73	141	167	
4	20	73	141	167	
4	24	73	141	167	
4	17	73	138	167	
4	20	73	138	167	
4	35	73	132	167	
4	35	73	133	167	
4	40	73	133	167	
4	40	78	133	167	
4	40	78	133	167	
4	40	78	138	167	
4	40	78	141	167	
4	33	78	141	167	
4	40	78	131	167	
4	40	78	131	167	
4	39	78	131	167	
4	28	78	134	167	
4	28	78	134	167	
4	21	78	134	167	
4	21	78	141	167	
4	35	73	141	167	
4	35	73	141	167	
4	35	73	130	167	
4	26	73	130	167	
4	26	73	130	167	
4	19	73	130	167	
4	21	73	130	167	
4	21	73	130	167	
4	30	73	135	167	
4	18	73	134	167	
4	21	73	132	167	
4	23	73	135	167	
4	18	73	134	167	
4	19	73	130	167	
4	25	73	130	167	
4	25	73	130	167	
4	25	73	138	167	
4	28	73	135	167	
4	20	73	132	167	
4	26	73	130	167	
4	33	73	138	167	
4	25	73	130	167	
4	16	73	130	167	
4	21	73	131	167	
4	31	73	141	167	
4	31	73	141	167	
4	31	73	141	167	
4	31	73	141	167	
4	25	78	141	167	
4	25	78	141	167	
4	25	78	141	167	
4	25	78	133	167	
4	30	78	133	167	
4	31	78	138	167	
4	28	78	138	167	
4	26	78	134	167	
4	26	78	135	167	
4	40	73	135	167	
4	33	73	141	167	
4	25	73	141	167	
4	25	73	141	167	
4	31	73	141	167	
4	45	73	141	167	
4	36	73	135	167	
4	36	73	133	167	
4	37	73	130	167	
4	28	73	130	167	
4	20	73	130	167	
4	18	73	135	167	
4	18	73	130	167	
4	24	73	135	167	
4	20	73	135	167	
4	20	73	124	167	
4	35	73	126	167	
4	37	78	126	167	
4	30	78	135	167	
4	30	78	134	167	
4	36	78	134	167	
4	39	78	141	167	
4	39	78	131	167	
4	26	73	131	167	
4	21	73	131	167	
4	25	73	132	167	
4	31	73	122	167	
4	36	73	122	167	
4	39	73	132	167	
4	39	73	132	167	
4	30	73	130	167	
4	39	73	132	167	
4	12	73	131	167	
4	21	73	138	167	
4	25	78	130	167	
4	28	78	122	167	
4	23	78	122	167	
4	18	73	134	167	
4	23	73	138	167	
4	30	73	135	167	
4	30	73	133	167	
4	36	73	141	167	
4	36	73	135	167	
4	36	73	133	167	
4	35	73	133	167	
4	35	73	133	167	
4	39	73	135	167	
4	39	73	141	167	
4	37	73	141	167	
4	39	73	141	167	
4	44	73	141	167	
4	36	73	141	167	
4	36	73	141	167	
4	33	73	141	167	
4	20	73	141	167	
4	37	73	133	167	
4	37	73	133	167	
4	37	73	134	167	
4	26	73	133	167	
4	16	73	133	167	
4	16	73	133	167	
4	25	73	130	167	
4	25	73	130	167	
4	25	73	131	167	
4	33	73	131	167	
4	30	78	134	167	
4	30	78	138	167	
4	17	78	141	167	
4	23	78	133	167	
4	23	78	141	167	
4	31	78	131	167	
4	25	78	141	167	
4	25	78	141	167	
4	37	78	141	167	
4	37	78	133	167	
4	37	78	133	167	
4	37	78	133	167	
4	35	78	132	167	
4	21	78	132	167	
4	16	78	135	167	
4	25	78	134	167	
4	25	78	133	167	
4	16	78	131	167	
4	23	78	132	167	
4	31	78	138	167	
4	30	78	138	167	
4	25	78	138	167	
4	33	78	141	167	
4	28	78	141	167	
4	28	78	131	167	
4	28	78	130	167	
4	28	78	141	167	
4	30	78	138	167	
4	30	78	141	167	
4	35	78	141	167	
4	35	78	141	167	
4	21	78	134	167	
4	18	78	141	167	
4	39	78	141	167	
4	39	78	130	167	
4	30	78	132	167	
4	26	73	132	167	
4	31	73	132	167	
4	24	73	132	167	
4	25	73	114	167	
4	25	73	114	167	
4	31	73	122	167	
4	33	73	135	167	
4	40	73	135	167	
4	31	73	130	167	
4	23	73	135	167	
4	30	73	132	167	
4	21	73	132	167	
4	37	73	132	167	
4	28	73	134	167	
4	37	73	134	167	
4	37	73	141	167	
4	40	73	130	167	
4	40	73	130	167	
4	39	73	122	167	
4	30	73	131	167	
4	30	73	141	167	
4	37	73	132	167	
4	37	73	131	167	
4	37	73	131	167	
4	37	73	135	167	
4	26	73	134	167	
4	30	73	141	167	
4	31	73	141	167	
4	26	73	141	167	
4	23	73	141	167	
4	16	73	138	167	
4	25	73	130	167	
4	25	73	130	167	
4	25	73	130	167	
4	25	73	130	167	
4	18	73	130	167	
4	33	73	130	167	
4	31	73	130	167	
4	36	78	130	167	
4	37	78	130	167	
4	39	78	130	167	
4	39	78	135	167	
4	39	78	130	167	
4	31	78	132	167	
4	35	78	132	167	
4	35	78	138	167	
4	37	78	138	167	
4	37	78	138	167	
4	37	73	132	167	
4	37	73	138	167	
4	33	73	132	167	
4	33	73	131	167	
4	39	73	133	167	
4	33	73	131	167	
4	33	73	132	167	
4	31	73	141	167	
4	31	73	130	167	
4	31	73	134	167	
4	31	73	130	167	
4	37	73	138	167	
4	37	73	138	167	
4	12	73	131	167	
4	18	73	131	167	
4	26	73	131	167	
4	16	73	131	167	
4	16	73	134	167	
4	20	78	134	167	
4	17	78	141	167	
4	25	78	122	167	
4	25	78	124	167	
4	25	78	133	167	
4	31	78	133	167	
4	39	78	130	167	
4	36	78	130	167	
4	36	78	133	167	
4	36	78	133	167	
4	36	78	131	167	
4	36	78	130	167	
4	39	78	132	167	
4	31	78	138	167	
4	35	78	138	167	
4	40	78	131	167	
4	40	78	135	167	
4	40	78	132	167	
4	40	78	132	167	
4	30	78	135	167	
4	26	78	138	167	
4	36	78	138	167	
4	36	78	135	167	
4	40	78	134	167	
4	31	78	134	167	
4	37	78	134	167	
4	17	78	132	167	
4	12	78	132	167	
4	12	78	132	167	
4	17	78	132	167	
4	18	78	132	167	
4	19	73	132	167	
4	30	73	132	167	
4	28	73	122	167	
4	37	73	131	167	
4	33	78	135	167	
4	30	73	135	167	
4	28	78	133	167	
4	30	78	138	167	
4	37	78	134	167	
4	33	73	126	167	
4	23	73	133	167	
4	37	73	133	167	
4	31	73	130	167	
4	31	73	128	167	
4	39	73	135	167	
4	30	73	138	167	
4	26	73	138	167	
4	24	73	130	167	
4	25	73	131	167	
4	8	73	138	167	
4	18	73	134	167	
4	18	73	135	167	
4	17	73	133	167	
4	25	73	133	167	
4	25	73	133	167	
4	37	73	133	167	
4	36	73	141	167	
4	26	73	141	167	
4	36	73	132	167	
4	36	73	132	167	
4	36	73	113	167	
4	40	73	113	167	
4	40	73	113	167	
4	40	73	113	167	
4	36	73	112	167	
4	37	73	112	167	
4	37	73	115	167	
4	35	73	113	167	
4	37	73	113	167	
4	39	73	113	167	
4	33	73	113	167	
4	39	73	113	167	
4	36	73	113	167	
4	39	78	113	167	
4	31	78	113	166	
4	31	73	113	166	
4	17	73	113	166	
4	16	73	113	166	
4	24	73	113	166	
4	35	73	113	166	
4	31	73	112	166	
4	35	73	113	166	
4	40	73	113	167	
4	40	73	122	167	
4	33	73	122	167	
4	28	73	122	167	
4	37	73	113	167	
4	37	73	113	167	
4	40	73	113	167	
4	40	78	113	167	
4	37	78	113	167	
4	37	78	122	167	
4	37	78	130	167	
